text,label
If theres a zero in your phone number say O instead of zero,Does_not_Understand
doesnt understand locations terrible app,Does_not_Understand
does not work at all never understands any call signs,Does_not_Understand
does not understand the food question or answer it correctly,Does_not_Understand
She is not clear on the commands and get con,Does_not_Understand
all it knows is chardonnay It does not even know what a Monastrell is,Does_not_Understand
Did not work on commands,Does_not_Understand
Does not know anything for a stuffy head or sinus issues,Does_not_Understand
Only responds she does not know any,Does_not_Understand
Everything I ask about carbs Alexa does not understand me,Does_not_Understand
zero stars because Alexa can not understand me,Does_not_Understand
does not pick up what you are saying very well,Does_not_Understand
I can only get it to understand Spanish phrases,Does_not_Understand
Now all I get is sorry I do not know that one,Does_not_Understand
does not understand most of the words you say it makes up other words instead,Does_not_Understand
never says anything different says one thing ony,Does_not_Understand
Doesnt work Alexa does not understand questions as asked,Does_not_Understand
She keeps on repeating I did not hear thatarg,Does_not_Understand
Keep getting the same results over and over again surname first name excetera,Does_not_Understand
Very disappointed in the change in this app It used to read in calm male voice now does not understand instruction does not read full chapters does not understand psalms many glitches,Does_not_Understand
alexa did not know what to say,Does_not_Understand
low is the same as no and hello for her I am tired of repeating,Does_not_Understand
you cant even understand one sentence horrible skill,Does_not_Understand
Alexa response seems to run all the words toget,Does_not_Understand
Does not seem to know what NASA does as far as well advertised launch activities in Florida so this app is useless,Does_not_Understand
Tried all the key words and get Sorry I do not that one,Does_not_Understand
She keeps saying she does not unde,Does_not_Understand
Even when making sure answers were well articulated Alexa did not understand them,Does_not_Understand
Responds too quickly sometimes even to words I did not even say,Does_not_Understand
so far it will only turn the tv off,Does_not_Understand
Followed the instructions and Alexa does not know what the hell to do,Does_not_Understand
alexa does not know what the hell is going on,Does_not_Understand
not working with the commands,Does_not_Understand
But all I get is I am not quite sure how to help you with that,Does_not_Understand
It does not always recogniz the group name and I have to repeat myself,Does_not_Understand
does not understand simple commands it can only do one zone at a time,Does_not_Understand
Skill keeps saying that I am not in the US,Does_not_Understand
Wish there was a better invocation name do not like saying alarmcom every time,Does_not_Understand
It does not know anything,Does_not_Understand
no reason just stopped listening to the command,Does_not_Understand
None of the commands work Alexa says she does not understand,Does_not_Understand
it didnt recoginize two correct answere otherwise not too bad,Does_not_Understand
It used to work but my Echo seems to not know what Caavo means anymore,Does_not_Understand
Unfortunately Alexa does not understand any of he commands,Does_not_Understand
does not know who North Carolina State is,Does_not_Understand
It just kept asking me what species over and over again do not waste your time,Does_not_Understand
Does not even know sunrise or sunset in the city that I am in,Does_not_Understand
Just kept asking for what species do not waste your time,Does_not_Understand
Alexa knows Seattle but does not seem to know anywhere else,Does_not_Understand
Played one time nowalexa does not understand,Does_not_Understand
it is too frustrating to use via Alexa and does not understand me more than half the time,Does_not_Understand
Keeps saying I do not know how to help you with that,Does_not_Understand
Not very good as she keeps misunderstanding the name I use of course that could just be that Alexis is not very good,Does_not_Understand
Alexa does not understand the words record memo,Does_not_Understand
Alexa just keeps saying sorry I do not know that one,Does_not_Understand
could not get her to do it,Does_not_Understand
Says sorry I am not sure about that,Does_not_Understand
Tried several times and alexa does not understand,Does_not_Understand
The response is too longit should just sayI will attempt to ring phone,Does_not_Understand
she said she did not know that one,Does_not_Understand
all i hear is sorry cant understand,Does_not_Understand
Useless it can not understand even a textbook example In general my Alexa experiences become more and more frustrating,Does_not_Understand
Also does not interpret numbers spoken correctly,Does_not_Understand
Alexa was very puzzled could not find anything,Does_not_Understand
does not work over half the time Alexa says she can not understand the question,Does_not_Understand
Did not get my rising sign correct based on date of birth time of birth and place of birth,Does_not_Understand
This skill does not know Kahlua or Aeto,Does_not_Understand
You just ask it Are you here until it says Yes You do not even have to move,Does_not_Understand
It did not understand anything we said even when we said exactly the options she gave us Very frustrating,Does_not_Understand
she didnt understand anything i said even something as simple as a dog or a cat She just says sorry i didnt understand please try again Even when you get very close to her and say it louder she still says she doesnt know what youre talking about,Does_not_Understand
Alexa says I am not sure what the St Louis Cardinals are Really,Does_not_Understand
No video and Alexa does not understand,Does_not_Understand
I have this on my Fire Cube I usually have to ask two or more times before it plays if I am not using my TV,Does_not_Understand
when i tellir to ay it plays mix 941 not 941 WHRP,Does_not_Understand
Alexa does not get this,Does_not_Understand
Alexa does not know what My Pod is,Does_not_Understand
Sometimes it does not work it is like it does not hear me,Does_not_Understand
i gave our command and it was not sure what to do,Does_not_Understand
doesnt work alexa does not understand the commands keeps replying that it must have heard me wrong,Does_not_Understand
can not hear words properly,Does_not_Understand
sorry im not sure about that sorry im not sure about that sorry im not sure about that sorry im not sure about that sorry im not sure about thatim a bumba,Does_not_Understand
The skill was rather limited but had its uses Recently it stopped working altogether,Does_not_Understand
Most of the time when you ask Alexa to show the Ring video she say ok but does not do anything Thanks for contacting me The issue is not the Ring doorbell the issue is Alexa not taking when she said ok to and acting on it,Does_not_Understand
does not work I am not in Chicago,Does_not_work
It would not order my coffe,Does_not_work
Love the appwell not really something happened did not work Ordered elsewhere,Does_not_work
Does not work which is a shame,Does_not_work
does not work if the bus number has a letter in it 49B,Does_not_work
I have not had this work since it was released,Does_not_work
It does not work in Pittsburgh PA,Does_not_work
could not even sign in even after password reset,Does_not_work
It just does not work,Does_not_work
Does not work do not waste your time Will not text me,Does_not_work
could not get it to work,Does_not_work
Followed the instructions and after an hour of trying to get it set up fid not work,Does_not_work
Tried doing it twice it did not work,Does_not_work
This app does not work,Does_not_work
does not work only gives an appropriate length of time,Does_not_work
does not pick up towns in NJ,Does_not_work
Could not set date eighteen months out,Does_not_work
Mine did not work either any suggestions,Does_not_work
it is garbage just like the appnever works,Does_not_work
does not work dont waist your time,Does_not_work
time will not sync so never plays,Does_not_work
This has potential but it is not working as is,Does_not_work
This skill does not work I am linked up six ways to Sunday and Alexa will not use FoundMi How does garbage like this even get released,Does_not_work
Tried a few times and gave up did not work at all for me,Does_not_work
It dos not work,Does_not_work
This function is not working,Does_not_work
great idea does not work,Does_not_work
does not work dont waste your time,Does_not_work
does not work does not know anything,Does_not_work
does not work what does work is crap,Does_not_work
Could never access the skill Worthless,Does_not_work
does not work,Does_not_work
doesnt work nothing plays at all,Does_not_work
It will not work Just shuts back off,Does_not_work
I went through the complete set up on their site and tried it several times It just does not work,Does_not_work
does not seems to work,Does_not_work
Skill is enabled but does not work,Does_not_work
Sorrydoes not work,Does_not_work
Every time I choose a sound it shuts off,Does_not_work
I am so disappointed that this app does not work,Does_not_work
Did not enable even after several tries,Does_not_work
Did not work after several attempts to enable skill,Does_not_work
does not work on Dot for me,Does_not_work
This app does not work at all,Does_not_work
does not play anything,Does_not_work
The skill will not work unless you enable all permissions,Does_not_work
Does not seem to work,Does_not_work
Great idea but the app does not do anything,Does_not_work
I could not get it to work,Does_not_work
It did not work for me,Does_not_work
Literally has not worked for me once,Does_not_work
Terrible nine times out of ten it will not even launch,Does_not_work
Not working Keeps saying the skill is not enabled,Does_not_work
Never works,Does_not_work
followed all directions and could not get any response,Does_not_work
Alexa could not access the app,Does_not_work
Unfortunately did not work,Does_not_work
I activated this but could not get it to run,Does_not_work
Just enabled nd will not even work,Does_not_work
Skill did not work for me,Does_not_work
It does not work getting an error,Does_not_work
Did not work with my ECHO SHOW,Does_not_work
The app did not work for me at all today,Does_not_work
nothing is heard at all not working,Does_not_work
Did not work,Does_not_work
this will NOT work with my new TV,Does_not_work
will not work,Does_not_work
flat out doesnt work,Does_not_work
This skill also does not work with XBR65X850D,Does_not_work
go to set it up and it already says its connected but still does not work,Does_not_work
Horrible Have tried for two days to get this skill workingstill nothing,Does_not_work
Was excited to download this skillit linked but never worked,Does_not_work
Terrible alexa on sonos is saying ok ok but not doing it,Does_not_work
No reason this should not be working,Does_not_work
After hours of trying we keep getting the response that the command does not work for the devicetotal waste of time on Christmas day,Does_not_work
Not Alexa enabled does not work,Does_not_work
it has not worked a single time,Does_not_work
Half of the time it does not work and I have to use the app on my phone instead,Does_not_work
Linking site does not work App fails to delivery as adverised,Does_not_work
Dose not work,Does_not_work
every skill have issues with Alexa the devices not work or not support,Does_not_work
This does not work well at all,Does_not_work
Horrible app does not work tried for four hours to fix,Does_not_work
as of this skill is STILL not working properly,Does_not_work
could not get it to do anything,Does_not_work
Will not work Needs work,Does_not_work
does not work at alluseless,Does_not_work
Hardly ever works and when it does it just buffers sont waste your time with this garbage,Does_not_work
does not work says no tv,Does_not_work
does not work with v1 of their bridge,Does_not_work
A waste of time does not work with Echo,Does_not_work
does not work with echo dot,Does_not_work
as much as i like FIOs even though its very slow this skill is worthless does not work at all,Does_not_work
not working for me too,Does_not_work
just plain doesnt work,Does_not_work
Tried this skill it did not work for my st tv its a sharp,Does_not_work
It does not work with my hopper,Does_not_work
has not worked for me yet,Does_not_work
It just doesnt work well at all I often have to manually shut it off and it doesnt respond to commands,Does_not_work
wasted of time DO NOT WORK,Does_not_work
Have not worked once,Does_not_work
Turn off works great turn on does nothing,Does_not_work
The scene programes do not work properly it doesnt turn on all devices,Does_not_work
error every time sucks,Does_not_work
disappointed not working,Does_not_work
Crap Doesnt works poor aupport,Does_not_work
Do not work,Does_not_work
Links but does not work,Does_not_work
For me it does not work properly I have to say the same command over and over until the systemided to execute it,Does_not_work
I can not get this to work sucks,Does_not_work
And Alexa does not work She says ok but does not do any of the commands,Does_not_work
But does not work Very frustrating,Does_not_work
does not work It never changes the channel even through it says it is changing it,Does_not_work
does not work Spent well over an hour on this and it does not discover anything,Does_not_work
did everything correctly multiple tomes and alexa will not work,Does_not_work
Could not get this to work at all,Does_not_work
I could not it to work with alexa,Does_not_work
Just does not work at all,Does_not_work
app is not working,Does_not_work
Does not work for mywhich is literally only fifteen feet away,Does_not_work
never worked,Does_not_work
keep asking for bridgethis thing does not work,Does_not_work
Link does not work please fix,Does_not_work
I have been trying for hours to enable it does not work,Does_not_work
Connected my thermostat but Alexa does not seem work with the app,Does_not_work
I would return my Sonos One if I could Alexa almost never works on Sonos and when it does its inconsistent at best This should have never been released what a joke,Does_not_work
Does not do what it says it does,Does_not_work
Very bad documentation Impossibly hard to find relevant forums And it simply does not wirk,Does_not_work
After all that it does not work in Trinidad and Tobago What a waste,Does_not_work
does not work at all Reinstalled a few times and just does not work,Does_not_work
A few months ago this skill was not available to use in Australia at all Now it is However it does not work with Spotify only other services like iHeartRadio which means it is no use to me,Does_not_work
does not work trying to lock doors with Alexa,Does_not_work
